UID,Longitude,Latitude
362,-122.402513213999950,37.786438279000038
363,-122.401802102999970,37.786960502000056
364,-122.402113214999990,37.787571613000068
365,-122.401802102999970,37.787204947000077
367,-122.401490991999990,37.786907725000049
368,-122.401146545999950,37.787024390000056
369,-122.400813212999990,37.786954946000037
373,-122.400268768999980,37.786893836000047
374,-122.400479880999970,37.787007725000080
375,-122.400813213999980,37.787591336000048
376,-122.401102102999970,37.787693836000074
377,-122.401613213999950,37.787704947000066
378,-122.400857657999950,37.788102168000080
379,-122.401268769999940,37.788185503000079
380,-122.401413213999940,37.788538280000068
381,-122.401879881999950,37.788660502000027
387,-122.401540992999970,37.789260503000037
389,-122.401171546999990,37.789102169000046
390,-122.400835435999970,37.788768836000031
391,-122.400957657999980,37.788782725000033
392,-122.400402103999970,37.789157724000063
393,-122.399840991999950,37.789971614000081
394,-122.400813212999990,37.788635502000034
395,-122.400479881999960,37.788335503000042
396,-122.400524325999980,37.788285503000054
397,-122.400179880999990,37.788227169000038
400,-122.400057657999980,37.788027169000031
401,-122.399590990999970,37.787804946000051
402,-122.399313212999970,37.788427169000045
404,-122.398713213999940,37.789177169000027
406,-122.398357656999960,37.789335503000075
407,-122.398279880999950,37.789479946000029
409,-122.397957657999940,37.798307725000029
412,-122.397046545999960,37.789482725000028
413,-122.397713213999960,37.789827169000034
414,-122.398113213999980,37.790402169000060
415,-122.398279880999950,37.790232726000056
416,-122.398590991999980,37.790104947000032
417,-122.398890990999970,37.789724390000060
418,-122.398702102999950,37.789613280000026
419,-122.398835435999960,37.789232725000033
420,-122.399090991999970,37.789154947000043
421,-122.399368769999970,37.788849391000042
422,-122.399190991999940,37.789985502000036
423,-122.399235434999980,37.790268836000052
424,-122.398757657999970,37.790257725000060
425,-122.398729880999950,37.790596614000037
426,-122.398629880999980,37.790513281000074
428,-122.398368769999990,37.790749391000077
439,-122.400368769999940,37.784702169000070
440,-122.399102101999970,37.785188279000067
441,-122.398946545999990,37.785079947000042
443,-122.399402101999950,37.784016057000031
444,-122.398929879999970,37.784463280000068
445,-122.398802102999980,37.784791058000053
446,-122.399257656999960,37.784227169000076
447,-122.403035436999970,37.798260503000051
450,-122.403757659999940,37.797821614000043
451,-122.403702103999990,37.797593836000033
452,-122.403635436999990,37.797318837000034
453,-122.403590992999970,37.797277170000029
454,-122.403168770999970,37.797277169000040
455,-122.402868770999990,37.797485503000075
456,-122.402613214999970,37.797246614000073
459,-122.401857658999970,37.797277169000040
461,-122.401802103999960,37.796579947000055
462,-122.401290992999980,37.796482725000033
463,-122.400713214999940,37.796735503000036
465,-122.400202103999960,37.796735503000036
466,-122.399635436999970,37.797071614000060
467,-122.399379881999950,37.796993837000059
468,-122.398935435999990,37.797041059000037
469,-122.398479881999950,37.797116059000075
470,-122.398346546999960,37.797199392000039
471,-122.397457658999940,37.796943836000025
472,-122.397190992999980,37.797021615000062
473,-122.397013214999960,37.796999392000032
476,-122.396357658999990,37.796574391000036
477,-122.395802102999990,37.796674392000057
480,-122.396002103999990,37.797260504000064
481,-122.396190991999960,37.797466059000044
482,-122.396502102999990,37.797863281000048
483,-122.397079881999960,37.798516059000065
485,-122.398157657999950,37.798896615000046
487,-122.398802103999970,37.798782725000081
488,-122.398646546999940,37.798307726000075
489,-122.398668770999960,37.797879948000059
490,-122.398524325999970,37.797588281000060
491,-122.399179881999940,37.798904948000029
492,-122.399546547999990,37.798921615000040
495,-122.400571547999960,37.798399391000032
496,-122.400302103999990,37.798504947000026
497,-122.399690993999970,37.798352169000054
498,-122.399738213999970,37.797882726000068
499,-122.399724325999950,37.797782725000047
500,-122.399479880999990,37.797527170000080
501,-122.400302103999990,37.797818836000033
502,-122.400835435999970,37.797757725000054
503,-122.400857657999950,37.797727169000041
504,-122.400957658999970,37.797216058000060
505,-122.401579882999950,37.797616059000063
506,-122.400990992999990,37.798096614000031
510,-122.402235436999940,37.798135503000026
511,-122.402290992999950,37.797871614000030
512,-122.402557659999960,37.797452169000053
513,-122.403046547999960,37.797802169000079
514,-122.403068770999990,37.797841059000064
515,-122.404904882999970,37.796668836000038
516,-122.405427104999940,37.796979947000068
517,-122.404757659999970,37.796282726000072
518,-122.403457658999970,37.796468836000031
519,-122.403513214999980,37.796646614000053
520,-122.403635436999990,37.797010503000024
521,-122.402902104999950,37.796457725000039
522,-122.401724325999960,37.796204948000025
525,-122.401446547999970,37.794924391000052
526,-122.399954882999960,37.795932725000057
527,-122.399546547999990,37.795991059000073
528,-122.399118770999960,37.796054947000073
529,-122.398688213999950,37.796110504000069
531,-122.398068769999950,37.796299391000048
532,-122.398157657999950,37.795538280000073
533,-122.397346546999980,37.796113281000032
534,-122.396957657999960,37.795918837000045
535,-122.396924325999980,37.795841058000065
538,-122.396924324999990,37.795099392000054
539,-122.396813214999950,37.794907726000076
541,-122.396835435999950,37.794599392000066
542,-122.397179881999990,37.794538280000040
543,-122.397379880999950,37.794588280000028
544,-122.397624324999980,37.794302170000037
546,-122.397890992999980,37.794868837000024
548,-122.397935435999950,37.795132726000077
549,-122.398610435999960,37.794754948000048
551,-122.399257658999940,37.795132725000030
552,-122.399057658999990,37.794960503000027
553,-122.399724324999970,37.795224391000033
554,-122.400368770999990,37.794610504000048
555,-122.400768771999990,37.794824391000077
556,-122.400857657999950,37.794782725000061
559,-122.401690991999940,37.795179948000055
560,-122.401513214999970,37.794460503000039
561,-122.401379881999960,37.794571615000052
562,-122.401924324999980,37.794329947000051
563,-122.402249324999960,37.794129947000044
564,-122.402235436999940,37.794352169000035
565,-122.402557658999970,37.794316059000039
566,-122.401924325999970,37.795049391000077
567,-122.402090992999940,37.794866059000071
569,-122.402813213999990,37.794874391000064
572,-122.403152104999950,37.794213280000065
575,-122.403190992999950,37.795002169000043
578,-122.403046547999960,37.795329947000027
579,-122.402624325999970,37.795518836000042
581,-122.402346547999970,37.795593836000080
582,-122.402713216000000,37.795979947000035
583,-122.403735436999970,37.796104947000060
584,-122.403879881999960,37.795988281000064
585,-122.404352104999990,37.796127169000044
586,-122.404390992999990,37.796377169000039
587,-122.404668770999990,37.796371614000066
590,-122.405057658999970,37.796635503000061
591,-122.405135437999950,37.796502169000064
592,-122.405090993999980,37.796177169000032
593,-122.405068770999950,37.796227169000076
597,-122.404738214999950,37.795285503000059
598,-122.404335437999980,37.795163281000043
599,-122.403879881999960,37.795174392000035
601,-122.404924326999950,37.794663280000066
602,-122.404879882999980,37.794488280000053
603,-122.404679881999980,37.794629947000033
604,-122.400713214999940,37.796838281000078
605,-122.400646547999940,37.796471614000041
606,-122.400463214999950,37.793927169000028
607,-122.401004882000000,37.794018836000077
608,-122.403368770999980,37.793357725000078
609,-122.404002103999970,37.793857725000066
612,-122.404513214999950,37.793460503000063
617,-122.405268770999950,37.797077170000080
618,-122.404890993999970,37.797166058000073
619,-122.405013215999990,37.795671614000071
620,-122.405024325999990,37.794668836000028
621,-122.404990992999960,37.794452168000078
622,-122.404857659999950,37.794502169000054
623,-122.404435436999960,37.794704947000071
624,-122.404202103999980,37.794691058000069
625,-122.404902104999960,37.794171613000060
626,-122.404935436999950,37.794221614000037
627,-122.404435436999960,37.793566058000067
629,-122.404568771999950,37.793638279000049
630,-122.404479881999980,37.793232725000053
631,-122.404290992999960,37.792554947000042
632,-122.404490992999970,37.792549391000080
633,-122.403757658999950,37.792393836000031
634,-122.403879881999960,37.792907725000077
635,-122.403924325999980,37.793324391000056
636,-122.403390992999960,37.792474391000042
638,-122.402793770999950,37.792935503000024
639,-122.402902103999960,37.793118836000076
640,-122.403013213999940,37.793263280000076
641,-122.402479881999970,37.792918836000069
642,-122.402202103999970,37.792857725000033
643,-122.401965991999990,37.792927169000052
644,-122.401602103999950,37.792382726000028
645,-122.400846546999960,37.792754947000049
646,-122.400857658999940,37.792843836000031
648,-122.400918769999980,37.792957726000054
649,-122.400346547999960,37.792193835000035
650,-122.399757657999940,37.792954948000045
651,-122.399913214999970,37.792718835000073
654,-122.399946547999950,37.793385503000025
658,-122.399557658999980,37.794077170000037
659,-122.401324325999950,37.796724392000044
660,-122.401835436999990,37.796279948000063
661,-122.401813215999990,37.796821615000056
662,-122.400490992999950,37.795521613000062
663,-122.400613214999960,37.795663281000031
664,-122.401835436999990,37.795307725000043
665,-122.397390991999940,37.794949392000035
666,-122.397068769999980,37.795493836000048
667,-122.406718770999990,37.787621614000045
669,-122.406777103999960,37.788091057000031
670,-122.406835436999980,37.788149390000058
671,-122.406749325999950,37.788454946000058
672,-122.406735436999950,37.788396613000032
678,-122.407068770999960,37.789746613000034
679,-122.406802104999940,37.789968835000025
680,-122.407379881999990,37.790329946000043
681,-122.407279881999950,37.790349391000063
682,-122.406668770999940,37.790491058000043
683,-122.405724325999980,37.790532724000059
684,-122.405435436999990,37.790429947000064
685,-122.405579881999980,37.790352168000027
686,-122.405535436999970,37.790035502000080
687,-122.404657658999950,37.791013280000072
692,-122.404368770999950,37.787721614000077
704,-122.403679881999950,37.791629946000057
705,-122.403435436999980,37.792043836000062
707,-122.404368771999940,37.792516058000047
708,-122.399143770999960,37.794257725000080
710,-122.399613213999940,37.794502169000054
711,-122.399524324999960,37.794441058000075
713,-122.399835436999980,37.794416058000024
721,-122.394035435999970,37.795366059000060
723,-122.394513212999980,37.795613281000044
724,-122.394824323999960,37.795946615000048
725,-122.394807657999990,37.796188281000070
726,-122.395090990999960,37.796366058000046
1,-122.401246545999980,37.781941057000040
2,-122.401204879999970,37.781963279000024
8,-122.398835435999960,37.783868836000067
15,-122.396857656999940,37.785238280000044
16,-122.397202102999980,37.786088280000058
21,-122.398357656999960,37.786393835000069
22,-122.398346545999970,37.786802169000055
26,-122.399057656999960,37.786316058000068
30,-122.399302101999980,37.785843835000037
43,-122.401979880999990,37.786116057000072
44,-122.402013213999960,37.786213279000037
49,-122.404168769999960,37.784854946000053
50,-122.404324324999950,37.784429947000035
